house_id,dwelling,dwelling_grade,household_m2,size_grade,bedrooms,years,old,heating_source,area_code,occupants,children,teenagers,adults,elders,ainc,adec,agauge,fulltimers,parttimers,grads,postgrads,education_index,income,recycling,energy_class,thermostats,water_heater,smart_plugs,awareness,start,end,days,kwhs,kwh/day,kwh/day/m2,hdd,cdd
1,Appartment,0.0,36,0.0,1.0,0 - 5,0.0,No,11251,1,0,0,1,0,0.9,0.75,1.0,1,0,1,0,0.9444444444,"10,001€ - 20,000€",Often or Always,Sometimes,Often or Always,No,Rarely,Rarely,2021-09-09,2022-01-12,125,378.0,3.024,0.084,227.883,67.071
1,Appartment,0.0,36,0.0,1.0,0 - 5,0.0,No,11251,1,0,0,1,0,0.9,0.75,1.0,1,0,1,0,0.9444444444,"10,001€ - 20,000€",Often or Always,Sometimes,Often or Always,No,Rarely,Rarely,2021-06-16,2021-09-09,85,237.0,2.788235294,0.07745098039,0.0,610.892
2,Appartment,0.0,95,0.4,2.0,6 - 15,0.33,No,14122,4,1,1,2,0,3.05,3.4,3.25,2,0,2,1,0.9722222222,"άνω των 60,0001€",Often or Always,Often or Always,Often or Always,Yes,Rarely,Sometimes,2020-09-11,2021-01-14,125,1440.0,11.52,0.1212631579,56.042,114.238
2,Appartment,0.0,95,0.4,2.0,6 - 15,0.33,No,14122,4,1,1,2,0,3.05,3.4,3.25,2,0,2,1,0.9722222222,"άνω των 60,0001€",Often or Always,Often or Always,Often or Always,Yes,Rarely,Sometimes,2021-05-14,2021-09-12,121,1150.0,9.504132231,0.1000434972,0.379,537.675
3,Appartment,0.0,80,0.2,2.0,6 - 15,0.33,No,17124,3,1,0,2,0,2.3,2.5,2.5,2,0,2,1,0.9722222222,"40,000€ - 60,000€",Sometimes,Often or Always,Rarely,No,Rarely,Sometimes,2021-10-25,2022-02-22,120,1135.0,9.458333333,0.1182291667,313.483,1.625
4,Appartment,0.0,48,0.0,1.0,0 - 5,0.0,No,17562,2,0,0,2,0,1.8,1.5,2.0,2,0,2,1,0.9722222222,"20,001€ - 40,000€",Sometimes,Rarely,Often or Always,Yes,Rarely,Sometimes,2021-10-12,2022-02-10,121,575.0,4.752066116,0.09900137741,261.622,1.987
4,Appartment,0.0,48,0.0,1.0,0 - 5,0.0,No,17562,2,0,0,2,0,1.8,1.5,2.0,2,0,2,1,0.9722222222,"20,001€ - 40,000€",Sometimes,Rarely,Often or Always,Yes,Rarely,Sometimes,2021-04-11,2021-06-10,60,224.0,3.733333333,0.07777777778,7.029,56.721
5,Family House,1.0,92,0.4,2.0,30+,1.0,No,38222,2,0,0,1,1,1.9,1.25,1.75,0,0,0,0,0.8333333333,"0 - 10,000€",Rarely,Rarely,Often or Always,Yes,Rarely,Rarely,2021-11-18,2022-01-20,63,806.0,12.79365079,0.1390614217,336.435,0.0
5,Family House,1.0,92,0.4,2.0,30+,1.0,No,38222,2,0,0,1,1,1.9,1.25,1.75,0,0,0,0,0.8333333333,"0 - 10,000€",Rarely,Rarely,Often or Always,Yes,Rarely,Rarely,2021-05-19,2021-07-15,57,580.0,10.1754386,0.1106025934,0.358,274.304
6,Appartment,0.0,100,0.4,3.0,16 - 30,0.66,No,41223,4,0,1,3,0,3.45,3.15,3.75,1,1,2,0,0.9074074074,"20,001€ - 40,000€",Rarely,Often or Always,Often or Always,No,Rarely,Rarely,2021-08-28,2022-01-04,129,696.0,5.395348837,0.05395348837,399.767,91.971
6,Appartment,0.0,100,0.4,3.0,16 - 30,0.66,No,41223,4,0,1,3,0,3.45,3.15,3.75,1,1,2,0,0.9074074074,"20,001€ - 40,000€",Rarely,Often or Always,Often or Always,No,Rarely,Rarely,2021-05-15,2021-08-19,96,587.0,6.114583333,0.06114583333,2.2,563.675
7,Appartment,0.0,120,0.6,3.0,0 - 5,0.0,No,42131,4,0,1,1,0,1.65,1.65,1.75,2,0,1,0,0.9444444444,"10,001€ - 20,000€",Sometimes,Often or Always,Often or Always,Yes,Rarely,Rarely,2021-10-15,2022-02-14,122,850.0,6.967213115,0.05806010929,718.714,0.754
7,Appartment,0.0,120,0.6,3.0,0 - 5,0.0,No,42131,4,0,1,1,0,1.65,1.65,1.75,2,0,1,0,0.9444444444,"10,001€ - 20,000€",Sometimes,Often or Always,Often or Always,Yes,Rarely,Rarely,2021-06-15,2021-10-14,121,2.0,0.0173553719,0.0001446280992,10.188,625.179
8,Appartment,0.0,94,0.4,3.0,0 - 5,0.0,No,42131,5,0,3,2,0,4.05,4.2,4.25,2,1,2,0,0.9444444444,"20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,Yes,Sometimes,Sometimes,2022-01-14,2022-03-14,59,1848.0,31.3220339,0.3332131266,393.09,0.0
8,Appartment,0.0,94,0.4,3.0,0 - 5,0.0,No,42131,5,0,3,2,0,4.05,4.2,4.25,2,1,2,0,0.9444444444,"20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,Yes,Sometimes,Sometimes,2021-06-14,2021-08-14,61,1589.0,26.04918033,0.2771189397,0.113,466.2
9,Appartment,0.0,142,0.8,3.0,30+,1.0,No,54248,3,0,0,3,0,2.7,2.25,3.0,2,0,2,0,0.9074074074,"20,001€ - 40,000€",Often or Always,Sometimes,Often or Always,No,Rarely,Rarely,2021-08-02,2021-12-01,121,1674.0,13.83471074,0.09742754045,106.912,288.417
9,Appartment,0.0,142,0.8,3.0,30+,1.0,No,54248,3,0,0,3,0,2.7,2.25,3.0,2,0,2,0,0.9074074074,"20,001€ - 40,000€",Often or Always,Sometimes,Often or Always,No,Rarely,Rarely,2021-08-02,2021-12-01,121,1674.0,13.83471074,0.09742754045,106.912,288.417
10,Appartment,0.0,45,0.0,1.0,30+,1.0,No,54248,1,0,0,1,0,0.9,0.75,1.0,0,0,1,0,0.9444444444,"0 - 10,000€",Often or Always,Sometimes,Often or Always,No,Rarely,Rarely,2021-10-25,2022-02-23,121,168.0,1.388429752,0.03085399449,691.968,0.0
